"sno","github_url","repo_name","feature_count","validation_info","status"
"1","https://github.com/cucumber-school/bdd-with-cucumber","cucumber-school/bdd-with-cucumber","538","✓ 534/538 file(s) with valid Gherkin keywords","SUCCESS"
"2","https://github.com/vitalets/playwright-bdd","vitalets/playwright-bdd","181","✓ 181/182 file(s) with valid Gherkin keywords","SUCCESS"
"3","https://github.com/gherkin-lint/gherkin-lint","gherkin-lint/gherkin-lint","135","✓ 121/135 file(s) with valid Gherkin keywords","SUCCESS"
"4","https://github.com/vsiakka/gherkin-lint","vsiakka/gherkin-lint","135","✓ 121/135 file(s) with valid Gherkin keywords","SUCCESS"
"5","https://github.com/cucumber/gherkin","cucumber/gherkin","105","✓ 78/105 file(s) with valid Gherkin keywords","SUCCESS"
"6","https://github.com/buildingSMART/ifc-gherkin-rules","buildingSMART/ifc-gherkin-rules","100","✓ 100/100 file(s) with valid Gherkin keywords","SUCCESS"
"7","https://github.com/thebrainfamily/cypress-cucumber-preprocessor","thebrainfamily/cypress-cucumber-preprocessor","91","✓ 91/91 file(s) with valid Gherkin keywords","SUCCESS"
"8","https://github.com/cucumber-rs/cucumber","cucumber-rs/cucumber","68","✓ 65/68 file(s) with valid Gherkin keywords","SUCCESS"
"9","https://github.com/philips-software/amp-cucumber-cpp-runner","philips-software/amp-cucumber-cpp-runner","68","✓ 68/68 file(s) with valid Gherkin keywords","SUCCESS"
"10","https://github.com/cucumber-rs/gherkin","cucumber-rs/gherkin","52","✓ 36/52 file(s) with valid Gherkin keywords","SUCCESS"
"11","https://github.com/bencompton/jest-cucumber","bencompton/jest-cucumber","43","✓ 41/43 file(s) with valid Gherkin keywords","SUCCESS"
"12","https://github.com/cucumberswift/CucumberSwift","cucumberswift/CucumberSwift","42","✓ 31/42 file(s) with valid Gherkin keywords","SUCCESS"
"13","https://github.com/tyler-keith-thompson/cucumberswift","tyler-keith-thompson/cucumberswift","42","✓ 31/42 file(s) with valid Gherkin keywords","SUCCESS"
"14","https://github.com/bdd-in-action/second-edition","bdd-in-action/second-edition","39","✓ 38/39 file(s) with valid Gherkin keywords","SUCCESS"
