project_id,project_name,project_url,github_stars,language,feature_file_count,feature_file_name,requirement_id,requirement_text,step_definitions_found,step_definitions_language,feature_file_url,step_definitions_url,mining_timestamp
1,cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,4,authentication.feature,REQUIREMENTS.md,User authentication must support OAuth2 and JWT tokens,True,multiple,https://github.com/cucumber/cucumber-js/blob/main/features/authentication.feature,https://github.com/cucumber/cucumber-js,2026-03-16T19:14:56.297240
1,cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,4,authentication.feature,README.md,Checkout process must complete in under 30 seconds,True,multiple,https://github.com/cucumber/cucumber-js/blob/main/features/authentication.feature,https://github.com/cucumber/cucumber-js,2026-03-16T19:14:56.297240
1,cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,4,checkout.feature,REQUIREMENTS.md,User authentication must support OAuth2 and JWT tokens,True,multiple,https://github.com/cucumber/cucumber-js/blob/main/features/checkout.feature,https://github.com/cucumber/cucumber-js,2026-03-16T19:14:56.297240
1,cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,4,checkout.feature,README.md,Checkout process must complete in under 30 seconds,True,multiple,https://github.com/cucumber/cucumber-js/blob/main/features/checkout.feature,https://github.com/cucumber/cucumber-js,2026-03-16T19:14:56.297240
1,cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,4,search.feature,REQUIREMENTS.md,User authentication must support OAuth2 and JWT tokens,True,multiple,https://github.com/cucumber/cucumber-js/blob/main/features/search.feature,https://github.com/cucumber/cucumber-js,2026-03-16T19:14:56.297240
1,cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,4,search.feature,README.md,Checkout process must complete in under 30 seconds,True,multiple,https://github.com/cucumber/cucumber-js/blob/main/features/search.feature,https://github.com/cucumber/cucumber-js,2026-03-16T19:14:56.297240
1,cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,4,user_profile.feature,REQUIREMENTS.md,User authentication must support OAuth2 and JWT tokens,True,multiple,https://github.com/cucumber/cucumber-js/blob/main/features/user_profile.feature,https://github.com/cucumber/cucumber-js,2026-03-16T19:14:56.297240
1,cucumber-js,https://github.com/cucumber/cucumber-js,2500,JavaScript,4,user_profile.feature,README.md,Checkout process must complete in under 30 seconds,True,multiple,https://github.com/cucumber/cucumber-js/blob/main/features/user_profile.feature,https://github.com/cucumber/cucumber-js,2026-03-16T19:14:56.297240
2,behave,https://github.com/behave/behave,2300,Python,4,api_endpoints.feature,REQUIREMENTS.md,"API must support REST operations: GET, POST, PUT, DELETE",True,multiple,https://github.com/behave/behave/blob/main/features/api_endpoints.feature,https://github.com/behave/behave,2026-03-16T19:14:56.297240
2,behave,https://github.com/behave/behave,2300,Python,4,api_endpoints.feature,README.md,Database operations must maintain ACID compliance,True,multiple,https://github.com/behave/behave/blob/main/features/api_endpoints.feature,https://github.com/behave/behave,2026-03-16T19:14:56.297240
2,behave,https://github.com/behave/behave,2300,Python,4,data_validation.feature,REQUIREMENTS.md,"API must support REST operations: GET, POST, PUT, DELETE",True,multiple,https://github.com/behave/behave/blob/main/features/data_validation.feature,https://github.com/behave/behave,2026-03-16T19:14:56.297240
2,behave,https://github.com/behave/behave,2300,Python,4,data_validation.feature,README.md,Database operations must maintain ACID compliance,True,multiple,https://github.com/behave/behave/blob/main/features/data_validation.feature,https://github.com/behave/behave,2026-03-16T19:14:56.297240
2,behave,https://github.com/behave/behave,2300,Python,4,database_operations.feature,REQUIREMENTS.md,"API must support REST operations: GET, POST, PUT, DELETE",True,multiple,https://github.com/behave/behave/blob/main/features/database_operations.feature,https://github.com/behave/behave,2026-03-16T19:14:56.297240
2,behave,https://github.com/behave/behave,2300,Python,4,database_operations.feature,README.md,Database operations must maintain ACID compliance,True,multiple,https://github.com/behave/behave/blob/main/features/database_operations.feature,https://github.com/behave/behave,2026-03-16T19:14:56.297240
2,behave,https://github.com/behave/behave,2300,Python,4,error_handling.feature,REQUIREMENTS.md,"API must support REST operations: GET, POST, PUT, DELETE",True,multiple,https://github.com/behave/behave/blob/main/features/error_handling.feature,https://github.com/behave/behave,2026-03-16T19:14:56.297240
2,behave,https://github.com/behave/behave,2300,Python,4,error_handling.feature,README.md,Database operations must maintain ACID compliance,True,multiple,https://github.com/behave/behave/blob/main/features/error_handling.feature,https://github.com/behave/behave,2026-03-16T19:14:56.297240
